Period,FDCP,Gross Salary
2016-03-06,9443|1|1|40276,150.3
2016-03-06,9443|1|1|40278,150.3
2016-03-06,9443|1|1|40280,125.25
2016-03-06,9443|1|1|40287,663.88
2016-03-06,9443|1|1|40304,0.0
2016-03-06,9443|1|1|40308,131.51
2016-03-06,9443|1|1|40309,11.52
2016-03-06,9443|1|1|40313,340.3
2016-03-06,9443|1|1|40316,34.55
2016-03-06,9443|1|1|40317,172.29
2016-03-06,9443|1|1|40327,108.17
2016-03-06,9443|1|1|40330,37.58
2016-03-06,9443|1|1|40331,120.64
2016-03-06,9443|1|1|40332,37.58
2016-03-06,9443|1|1|40333,75.15
2016-03-06,9443|1|1|40336,259.89
2016-03-06,9443|1|1|40337,287.63
2016-03-06,9443|1|1|40338,41.59
2016-03-06,9443|1|1|40339,208.28
2016-03-06,9443|1|1|40400,243.44
2016-03-06,9443|1|1|40404,156.91
2016-03-06,9443|1|1|40405,15.65
2016-03-06,9443|1|1|40406,25.05
2016-03-06,9443|1|1|40410,50.1
2016-03-06,9443|1|1|40411,50.1
2016-03-06,9443|1|1|40412,40.56
2016-03-06,9443|1|1|40429,188.12
2016-03-06,9443|1|1|40430,94.64
2016-03-06,9443|1|1|40432,218.08
2016-03-06,9443|1|1|40447,79.09
2016-03-06,9443|1|1|40448,174.79
2016-03-06,9443|1|1|40455,0.0
2016-03-06,9443|1|1|40456,132.44
2016-03-06,9443|1|1|40472,207.28
2016-03-06,9443|1|1|40483,193.4
2016-03-06,9443|1|1|40493,272.92
2016-03-06,9443|1|1|40495,115.94
2016-03-06,9443|1|1|40496,132.44
2016-03-06,9443|1|1|40498,235.38
2016-03-06,9443|1|1|40499,48.68
2016-03-06,9443|1|1|40500,108.68
2016-03-06,9443|1|1|40502,94.64
2016-03-06,9443|1|1|40504,50.1
2016-03-06,9443|1|1|40505,86.08
2016-03-06,9443|1|1|40510,284.94
2016-03-06,9443|1|1|40519,33.38
2016-03-06,9443|1|1|40522,48.05
2016-03-06,9443|1|1|40525,105.45
2016-03-06,9443|1|1|40527,317.87
2016-03-06,9443|1|1|42222,0.0
2016-03-06,9443|1|3|40081,372.61
2016-03-06,9443|1|3|40087,352.55
2016-03-06,9443|1|3|40125,0.0
2016-03-06,9443|1|3|40129,203.23
2016-03-06,9443|1|3|40131,482.06
2016-03-06,9443|1|3|40136,550.59
2016-03-06,9443|1|3|40169,0.0
2016-03-06,9443|1|3|40170,0.0
2016-03-06,9443|1|3|40215,250.5
2016-03-06,9443|1|3|40217,103.85
2016-03-06,9443|1|3|40240,551.02
2016-03-06,9443|1|3|40242,256.35
2016-03-06,9443|1|3|40244,371.71
2016-03-06,9443|1|3|40246,365.24
2016-03-06,9443|1|3|40248,295.19
2016-03-06,9443|1|3|40250,237.17
2016-03-06,9443|1|3|40252,381.06
2016-03-06,9443|1|3|40254,309.5
2016-03-06,9443|1|3|40326,352.0
2016-03-06,9443|1|3|40409,0.0
2016-03-07,43838|0|1|637,4117.37
2016-03-09,65727|0|3|159,20725.44
2016-03-11,32428|0|1|1053,0.0
2016-03-11,32428|0|1|1054,0.0
2016-03-11,32428|0|1|11,0.0
2016-03-11,32428|0|1|1101,0.0
2016-03-11,32428|0|1|1123,0.0
2016-03-11,32428|0|1|1147,0.0
2016-03-11,32428|0|1|12,0.0
2016-03-11,32428|0|1|1276,0.0
2016-03-11,32428|0|1|13,0.0
2016-03-11,32428|0|1|1307,0.0
2016-03-11,32428|0|1|1321,0.0
2016-03-11,32428|0|1|1322,0.0
2016-03-11,32428|0|1|1323,0.0
2016-03-11,32428|0|1|1332,0.0
2016-03-11,32428|0|1|1337,0.0
2016-03-11,32428|0|1|1338,0.0
2016-03-11,32428|0|1|1339,0.0
2016-03-11,32428|0|1|1344,0.0
2016-03-11,32428|0|1|1345,0.0
2016-03-11,32428|0|1|1348,0.0
2016-03-11,32428|0|1|1350,0.0
2016-03-11,32428|0|1|1351,0.0
2016-03-11,32428|0|1|1354,0.0
2016-03-11,32428|0|1|1386,0.0
2016-03-11,32428|0|1|14,0.0
2016-03-11,32428|0|1|1436,0.0
2016-03-11,32428|0|1|1437,0.0
2016-03-11,32428|0|1|1442,0.0
2016-03-11,32428|0|1|1483,0.0
2016-03-11,32428|0|1|1489,0.0
2016-03-11,32428|0|1|1520,0.0
2016-03-11,32428|0|1|1521,0.0
2016-03-11,32428|0|1|1560,0.0
2016-03-11,32428|0|1|1587,0.0
2016-03-11,32428|0|1|1588,0.0
2016-03-11,32428|0|1|1589,0.0
2016-03-11,32428|0|1|1590,0.0
2016-03-11,32428|0|1|1591,0.0
2016-03-11,32428|0|1|1592,0.0
2016-03-11,32428|0|1|1594,0.0
2016-03-11,32428|0|1|1595,0.0
2016-03-11,32428|0|1|1596,0.0
2016-03-11,32428|0|1|1598,0.0
2016-03-11,32428|0|1|16,0.0
2016-03-11,32428|0|1|1606,0.0
2016-03-11,32428|0|1|1607,0.0
2016-03-11,32428|0|1|1623,0.0
2016-03-11,32428|0|1|1637,0.0
2016-03-11,32428|0|1|1638,0.0
2016-03-11,32428|0|1|1640,0.0
2016-03-11,32428|0|1|1642,0.0
2016-03-11,32428|0|1|1651,0.0
2016-03-11,32428|0|1|1653,0.0
2016-03-11,32428|0|1|1654,0.0
2016-03-11,32428|0|1|1655,0.0
2016-03-11,32428|0|1|1668,0.0
2016-03-11,32428|0|1|1669,0.0
2016-03-11,32428|0|1|1671,0.0
2016-03-11,32428|0|1|1676,0.0
2016-03-11,32428|0|1|1692,0.0
2016-03-11,32428|0|1|1693,0.0
2016-03-11,32428|0|1|1695,0.0
2016-03-11,32428|0|1|1696,0.0
2016-03-11,32428|0|1|1697,0.0
2016-03-11,32428|0|1|1699,0.0
2016-03-11,32428|0|1|1700,0.0
2016-03-11,32428|0|1|1701,0.0
2016-03-11,32428|0|1|1702,0.0
2016-03-11,32428|0|1|1703,0.0
2016-03-11,32428|0|1|1704,0.0
2016-03-11,32428|0|1|1715,0.0
2016-03-11,32428|0|1|1716,0.0
2016-03-11,32428|0|1|1718,0.0
2016-03-11,32428|0|1|1727,0.0
2016-03-11,32428|0|1|1728,0.0
2016-03-11,32428|0|1|1729,0.0
2016-03-11,32428|0|1|1734,0.0
2016-03-11,32428|0|1|1735,0.0
2016-03-11,32428|0|1|1736,0.0
2016-03-11,32428|0|1|1737,0.0
2016-03-11,32428|0|1|1739,0.0
2016-03-11,32428|0|1|174,0.0
2016-03-11,32428|0|1|1740,0.0
2016-03-11,32428|0|1|1750,0.0
2016-03-11,32428|0|1|1751,0.0
2016-03-11,32428|0|1|1752,0.0
2016-03-11,32428|0|1|1753,0.0
2016-03-11,32428|0|1|1754,0.0
2016-03-11,32428|0|1|1755,0.0
2016-03-11,32428|0|1|1756,0.0
2016-03-11,32428|0|1|1768,0.0
2016-03-11,32428|0|1|178,0.0
2016-03-11,32428|0|1|1782,0.0
2016-03-11,32428|0|1|1783,0.0
2016-03-11,32428|0|1|1788,0.0
2016-03-11,32428|0|1|1789,0.0
2016-03-11,32428|0|1|1791,0.0
2016-03-11,32428|0|1|1793,0.0
2016-03-11,32428|0|1|1794,0.0
2016-03-11,32428|0|1|1795,0.0
2016-03-11,32428|0|1|1796,0.0
2016-03-11,32428|0|1|1797,0.0
2016-03-11,32428|0|1|1798,0.0
2016-03-11,32428|0|1|1799,0.0
2016-03-11,32428|0|1|18,0.0
2016-03-11,32428|0|1|1800,0.0
2016-03-11,32428|0|1|1801,0.0
2016-03-11,32428|0|1|1802,0.0
2016-03-11,32428|0|1|1803,0.0
2016-03-11,32428|0|1|1804,0.0
2016-03-11,32428|0|1|1805,0.0
2016-03-11,32428|0|1|1806,0.0
2016-03-11,32428|0|1|20,0.0
2016-03-11,32428|0|1|223,0.0
2016-03-11,32428|0|1|236,0.0
2016-03-11,32428|0|1|237,0.0
2016-03-11,32428|0|1|26,0.0
2016-03-11,32428|0|1|273,0.0
2016-03-11,32428|0|1|274,0.0
2016-03-11,32428|0|1|276,0.0
2016-03-11,32428|0|1|277,0.0
2016-03-11,32428|0|1|278,0.0
2016-03-11,32428|0|1|28,0.0
2016-03-11,32428|0|1|282,0.0
2016-03-11,32428|0|1|284,0.0
2016-03-11,32428|0|1|29,0.0
2016-03-11,32428|0|1|290,0.0
2016-03-11,32428|0|1|292,0.0
2016-03-11,32428|0|1|294,0.0
2016-03-11,32428|0|1|3,0.0
2016-03-11,32428|0|1|301,0.0
2016-03-11,32428|0|1|303,0.0
2016-03-11,32428|0|1|304,0.0
2016-03-11,32428|0|1|305,0.0
2016-03-11,32428|0|1|306,0.0
2016-03-11,32428|0|1|308,0.0
2016-03-11,32428|0|1|318,0.0
2016-03-11,32428|0|1|319,0.0
2016-03-11,32428|0|1|32,0.0
2016-03-11,32428|0|1|35,0.0
2016-03-11,32428|0|1|36,0.0
2016-03-11,32428|0|1|365,0.0
2016-03-11,32428|0|1|368,0.0
2016-03-11,32428|0|1|37,0.0
2016-03-11,32428|0|1|378,0.0
2016-03-11,32428|0|1|382,0.0
2016-03-11,32428|0|1|383,0.0
2016-03-11,32428|0|1|384,0.0
2016-03-11,32428|0|1|39,0.0
2016-03-11,32428|0|1|401,0.0
2016-03-11,32428|0|1|405,0.0
2016-03-11,32428|0|1|41,0.0
2016-03-11,32428|0|1|430,0.0
2016-03-11,32428|0|1|433,0.0
2016-03-11,32428|0|1|442,0.0
2016-03-11,32428|0|1|446,0.0
2016-03-11,32428|0|1|449,0.0
2016-03-11,32428|0|1|452,0.0
2016-03-11,32428|0|1|489,0.0
2016-03-11,32428|0|1|509,0.0
2016-03-11,32428|0|1|511,0.0
2016-03-11,32428|0|1|545,0.0
2016-03-11,32428|0|1|546,0.0
2016-03-11,32428|0|1|547,0.0
2016-03-11,32428|0|1|594,0.0
2016-03-11,32428|0|1|629,0.0
2016-03-11,32428|0|1|630,0.0
2016-03-11,32428|0|1|671,0.0
2016-03-11,32428|0|1|672,0.0
2016-03-11,32428|0|1|698,0.0
2016-03-11,32428|0|1|704,0.0
2016-03-11,32428|0|1|705,0.0
2016-03-11,32428|0|1|750,0.0
2016-03-11,32428|0|1|760,0.0
2016-03-11,32428|0|1|766,0.0
2016-03-11,32428|0|1|767,0.0
2016-03-11,32428|0|1|768,0.0
2016-03-11,32428|0|1|771,0.0
2016-03-11,32428|0|1|772,0.0
2016-03-11,32428|0|1|864,0.0
2016-03-11,32428|0|1|865,0.0
2016-03-11,32428|0|1|867,0.0
2016-03-11,32428|0|1|868,0.0
2016-03-11,32428|0|1|87,0.0
2016-03-11,32428|0|1|946,0.0
2016-03-11,32428|0|1|947,0.0
2016-03-11,67507|0|1|129,0.0
2016-03-11,67507|0|1|146,0.0
2016-03-11,67507|0|1|16,0.0
2016-03-11,67507|0|1|163,0.0
2016-03-11,67507|0|1|19,0.0
2016-03-11,67507|0|1|24,0.0
2016-03-11,67507|0|1|37,0.0
2016-03-11,67507|0|1|39,0.0
2016-03-11,67507|0|1|41,0.0
2016-03-11,67507|0|1|49,0.0
2016-03-11,67507|0|1|51,0.0
2016-03-11,67507|0|1|54,0.0
2016-03-11,67507|0|1|9044,0.0
2016-03-11,67507|0|1|9054,0.0
2016-03-11,67507|0|1|9055,0.0
2016-03-11,9021|0|3|290,9571.53
2016-03-13,9443|1|1|40062,125.25
2016-03-13,9443|1|1|40281,102.79
2016-03-13,9443|1|1|40283,258.65
2016-03-13,9443|1|1|40299,0.0
2016-03-13,9443|1|1|40341,227.43
2016-03-13,9443|1|1|40342,219.19
2016-03-13,9443|1|1|40343,178.22
2016-03-13,9443|1|1|40345,21.91
2016-03-13,9443|1|1|40347,446.71
2016-03-13,9443|1|1|40348,137.25
2016-03-13,9443|1|1|40349,626.25
2016-03-13,9443|1|1|40351,150.3
2016-03-13,9443|1|1|40352,250.5
2016-03-13,9443|1|1|40353,250.5
2016-03-13,9443|1|1|40354,125.25
2016-03-13,9443|1|1|40355,232.63
2016-03-13,9443|1|1|40356,219.19
2016-03-13,9443|1|1|40357,0.0
2016-03-13,9443|1|1|40358,337.4
2016-03-13,9443|1|1|40359,140.9
2016-03-13,9443|1|1|40360,363.22999999999996
2016-03-13,9443|1|1|40361,187.88
2016-03-13,9443|1|1|40362,177.35
2016-03-13,9443|1|1|40364,187.88
2016-03-13,9443|1|1|40365,352.52
2016-03-13,9443|1|1|40368,263.03
2016-03-13,9443|1|1|40369,39.7
2016-03-13,9443|1|1|40371,237.98
2016-03-13,9443|1|1|40372,187.88
2016-03-13,9443|1|1|40373,156.56
2016-03-13,9443|1|1|40374,37.58
2016-03-13,9443|1|1|40375,12.53
2016-03-13,9443|1|1|40376,12.53
2016-03-13,9443|1|1|40377,106.93
2016-03-13,9443|1|1|40379,501.0
2016-03-13,9443|1|1|40381,297.13
2016-03-13,9443|1|1|40382,160.25
2016-03-13,9443|1|1|40383,463.43
2016-03-13,9443|1|1|40384,535.58
2016-03-13,9443|1|1|40385,568.35
2016-03-13,9443|1|1|40386,515.86
2016-03-13,9443|1|1|40387,320.5
2016-03-13,9443|1|1|40388,267.08000000000004
2016-03-13,9443|1|1|40389,333.86
2016-03-13,9443|1|1|40390,113.50999999999999
2016-03-13,9443|1|1|40391,46.74
2016-03-13,9443|1|1|40392,0.0
2016-03-13,9443|1|1|40393,0.0
2016-03-13,9443|1|1|40394,166.93
2016-03-13,9443|1|1|40395,133.54
2016-03-13,9443|1|1|40396,106.83
2016-03-13,9443|1|1|40397,432.38
2016-03-13,9443|1|1|40399,242.33
2016-03-13,9443|1|1|40403,510.8
2016-03-13,9443|1|1|40407,115.85
2016-03-13,9443|1|1|40408,11.52
2016-03-13,9443|1|1|40413,40.56
2016-03-13,9443|1|1|40414,108.84
2016-03-13,9443|1|1|40415,684.21
2016-03-13,9443|1|1|40416,38.55
2016-03-13,9443|1|1|40417,99.58
2016-03-13,9443|1|1|40418,124.42
2016-03-13,9443|1|1|40419,77.09
2016-03-13,9443|1|1|40420,38.55
2016-03-13,9443|1|1|40421,38.55
2016-03-13,9443|1|1|40422,96.37
2016-03-13,9443|1|1|40423,12.85
2016-03-13,9443|1|1|40424,178.82
2016-03-13,9443|1|1|40426,212.01
2016-03-13,9443|1|1|40433,470.77
2016-03-13,9443|1|1|40434,229.77
2016-03-13,9443|1|1|40435,205.59
2016-03-13,9443|1|1|40436,108.17
2016-03-13,9443|1|1|40437,108.17
2016-03-13,9443|1|1|40438,102.12
2016-03-13,9443|1|1|40440,101.4
2016-03-13,9443|1|1|40441,211.55
2016-03-13,9443|1|1|40442,60.03
2016-03-13,9443|1|1|40443,206.15
2016-03-13,9443|1|1|40444,108.84
2016-03-13,9443|1|1|40445,102.79
2016-03-13,9443|1|1|40446,89.95
2016-03-13,9443|1|1|40450,450.9
2016-03-13,9443|1|1|40451,430.73
2016-03-13,9443|1|1|40452,425.84999999999997
2016-03-13,9443|1|1|40453,430.73
2016-03-13,9443|1|1|40454,0.0
2016-03-13,9443|1|1|40473,323.87
2016-03-13,9443|1|1|40474,83.41
2016-03-13,9443|1|1|40475,25.05
2016-03-13,9443|1|1|40476,11.52
2016-03-13,9443|1|1|40477,11.52
2016-03-13,9443|1|1|40478,108.28
2016-03-13,9443|1|1|40479,105.45
2016-03-13,9443|1|1|40480,647.72
2016-03-13,9443|1|1|40481,380.59
2016-03-13,9443|1|1|40482,589.56
2016-03-13,9443|1|1|40484,133.01
2016-03-13,9443|1|1|40485,223.68
2016-03-13,9443|1|1|40486,227.03
2016-03-13,9443|1|1|40487,303.08
2016-03-13,9443|1|1|40489,100.2
2016-03-13,9443|1|1|40490,62.63
2016-03-13,9443|1|1|40491,125.25
2016-03-13,9443|1|1|40494,341.15
2016-03-13,9443|1|1|40507,204.22
2016-03-13,9443|1|1|40508,167.49
2016-03-13,9443|1|1|40509,417.32
2016-03-13,9443|1|1|40512,363.23
2016-03-13,9443|1|1|40515,189.52
2016-03-13,9443|1|1|40516,301.29
2016-03-13,9443|1|1|40529,117.56
2016-03-13,9443|1|1|40530,200.32
2016-03-13,9443|1|1|40532,122.11
2016-03-13,9443|1|1|40533,275.55
2016-03-13,9443|1|1|40535,200.32
2016-03-13,9443|1|1|40536,427.73
2016-03-13,9443|1|1|40539,102.12
2016-03-13,9443|1|1|40540,183.95
2016-03-13,9443|1|1|40541,0.0
2016-03-13,9443|1|1|40542,181.61
2016-03-13,9443|1|1|40597,374.95
2016-03-13,9443|1|1|40606,286.33
2016-03-13,9443|1|1|40607,47.68
2016-03-13,9443|1|1|40609,136.38
2016-03-13,9443|1|1|40610,146.74
2016-03-13,9443|1|1|40611,147.41
2016-03-13,9443|1|1|40612,143.55
2016-03-13,9443|1|1|40626,109.22
2016-03-13,9443|1|1|40627,144.2
2016-03-13,9443|1|1|40630,192.01
2016-03-13,9443|1|1|40632,113.57
2016-03-13,9443|1|1|40640,144.2
2016-03-13,9443|1|1|40649,104.8
2016-03-13,9443|1|1|40650,126.42
2016-03-13,9443|1|1|40651,205.09
2016-03-13,9443|1|1|40670,50.1
2016-03-13,9443|1|1|40672,284.94
2016-03-13,9443|1|1|40707,93.32
2016-03-13,9443|1|1|40711,176.49
2016-03-13,9443|1|1|40723,91.81
2016-03-13,9443|1|1|40724,56.36
2016-03-13,9443|1|1|40728,50.1
2016-03-13,9443|1|1|40731,55.89
2016-03-13,9443|1|1|40734,53.42
2016-03-13,9443|1|1|40735,0.0
2016-03-13,9443|1|1|40736,58.42
2016-03-13,9443|1|1|40745,43.84
2016-03-13,9443|1|1|40831,200.32
2016-03-13,9443|1|1|40833,200.32
2016-03-13,9443|1|1|41143,0.0
2016-03-13,9443|1|1|42223,0.0
2016-03-13,9443|1|3|40340,487.07
2016-03-13,9443|1|3|40344,440.69
2016-03-13,9443|1|3|40366,304.85
2016-03-13,9443|1|3|40367,602.58
2016-03-13,9443|1|3|40370,688.23
2016-03-13,9443|1|3|40380,688.78
2016-03-13,9443|1|3|40398,0.0
2016-03-13,9443|1|3|40458,528.14
2016-03-13,9443|1|3|40459,191.44
2016-03-13,9443|1|3|40460,0.0
2016-03-13,9443|1|3|40461,349.28
2016-03-13,9443|1|3|40462,453.51
2016-03-13,9443|1|3|40463,205.12
2016-03-13,9443|1|3|40464,89.74
2016-03-13,9443|1|3|40465,51.28
2016-03-13,9443|1|3|40466,285.13
2016-03-13,9443|1|3|40467,127.47
2016-03-13,9443|1|3|40468,198.67
2016-03-13,9443|1|3|40469,160.22
2016-03-13,9443|1|3|40470,127.52
2016-03-13,9443|1|3|40471,125.25
2016-03-13,9443|1|3|40517,440.0
2016-03-13,9443|1|3|40593,102.1
2016-03-13,9443|1|3|40594,67.09
2016-03-13,9443|1|3|40595,76.91
2016-03-13,9443|1|3|40596,67.31
2016-03-13,9443|1|3|40598,0.0
2016-03-13,9443|1|3|40739,95.72
2016-03-13,9443|1|3|42016,297.92
2016-03-15,43838|0|1|1112,972.87
2016-03-15,67507|0|3|9053,0.0
2016-03-20,48568|0|3|2121,23277.72
2016-03-20,9443|1|1|40063,125.25
2016-03-20,9443|1|1|40300,0.0
2016-03-20,9443|1|1|40303,0.0
2016-03-20,9443|1|1|40521,331.91
2016-03-20,9443|1|1|40543,62.63
2016-03-20,9443|1|1|40544,125.25
2016-03-20,9443|1|1|40546,93.94
2016-03-20,9443|1|1|40547,250.18
2016-03-20,9443|1|1|40548,219.19
2016-03-20,9443|1|1|40549,261.39
2016-03-20,9443|1|1|40551,502.14
2016-03-20,9443|1|1|40552,21.91
2016-03-20,9443|1|1|40553,434.63
2016-03-20,9443|1|1|40555,626.25
2016-03-20,9443|1|1|40558,250.5
2016-03-20,9443|1|1|40559,250.5
2016-03-20,9443|1|1|40560,125.25
2016-03-20,9443|1|1|40561,290.79
2016-03-20,9443|1|1|40563,219.19
2016-03-20,9443|1|1|40564,0.0
2016-03-20,9443|1|1|40565,325.97
2016-03-20,9443|1|1|40566,112.73
2016-03-20,9443|1|1|40567,356.96
2016-03-20,9443|1|1|40568,187.88
2016-03-20,9443|1|1|40569,174.84
2016-03-20,9443|1|1|40570,187.88
2016-03-20,9443|1|1|40571,272.92
2016-03-20,9443|1|1|40576,11.28
2016-03-20,9443|1|1|40577,11.28
2016-03-20,9443|1|1|40578,11.28
2016-03-20,9443|1|1|40579,12.53
2016-03-20,9443|1|1|40581,156.56
2016-03-20,9443|1|1|40582,194.14
2016-03-20,9443|1|1|40583,12.53
2016-03-20,9443|1|1|40584,12.53
2016-03-20,9443|1|1|40585,12.53
2016-03-20,9443|1|1|40586,316.64
2016-03-20,9443|1|1|40587,100.99
2016-03-20,9443|1|1|40588,501.0
2016-03-20,9443|1|1|40591,60.09
2016-03-20,9443|1|1|40592,463.43
2016-03-20,9443|1|1|40600,333.66
2016-03-20,9443|1|1|40601,434.12
2016-03-20,9443|1|1|40602,430.73
2016-03-20,9443|1|1|40604,365.23
2016-03-20,9443|1|1|40605,150.3
2016-03-20,9443|1|1|40608,62.11
2016-03-20,9443|1|1|40613,148.73
2016-03-20,9443|1|1|40614,238.3
2016-03-20,9443|1|1|40615,513.16
2016-03-20,9443|1|1|40616,327.8
2016-03-20,9443|1|1|40618,402.35
2016-03-20,9443|1|1|40619,192.73
2016-03-20,9443|1|1|40620,25.69
2016-03-20,9443|1|1|40628,109.22
2016-03-20,9443|1|1|40629,278.95
2016-03-20,9443|1|1|40631,574.61
2016-03-20,9443|1|1|40633,40.56
2016-03-20,9443|1|1|40634,222.42
2016-03-20,9443|1|1|40635,105.83
2016-03-20,9443|1|1|40636,108.31
2016-03-20,9443|1|1|40637,326.43
2016-03-20,9443|1|1|40638,108.17
2016-03-20,9443|1|1|40639,108.17
2016-03-20,9443|1|1|40641,659.5
2016-03-20,9443|1|1|40642,108.17
2016-03-20,9443|1|1|40644,40.56
2016-03-20,9443|1|1|40645,206.46
2016-03-20,9443|1|1|40646,108.84
2016-03-20,9443|1|1|40647,381.38
2016-03-20,9443|1|1|40648,44.63
2016-03-20,9443|1|1|40659,202.83
2016-03-20,9443|1|1|40671,284.94
2016-03-20,9443|1|1|40673,233.7
2016-03-20,9443|1|1|40674,227.03
2016-03-20,9443|1|1|40675,536.03
2016-03-20,9443|1|1|40676,106.83
2016-03-20,9443|1|1|40692,535.58
2016-03-20,9443|1|1|40693,530.9399999999999
2016-03-20,9443|1|1|40694,522.54
2016-03-20,9443|1|1|40695,267.08
2016-03-20,9443|1|1|40696,333.86
2016-03-20,9443|1|1|40697,46.74
2016-03-20,9443|1|1|40698,333.86
2016-03-20,9443|1|1|40699,46.74
2016-03-20,9443|1|1|40700,0.0
2016-03-20,9443|1|1|40701,0.0
2016-03-20,9443|1|1|40703,180.28
2016-03-20,9443|1|1|40704,133.54
2016-03-20,9443|1|1|40705,385.03
2016-03-20,9443|1|1|40706,307.03
2016-03-20,9443|1|1|40708,112.73
2016-03-20,9443|1|1|40709,16.79
2016-03-20,9443|1|1|40710,8.39
2016-03-20,9443|1|1|40712,109.44
2016-03-20,9443|1|1|40713,106.61
2016-03-20,9443|1|1|40714,638.43
2016-03-20,9443|1|1|40715,367.24
2016-03-20,9443|1|1|40716,81.57
2016-03-20,9443|1|1|40717,56.31
2016-03-20,9443|1|1|40718,86.8
2016-03-20,9443|1|1|40719,10.01
2016-03-20,9443|1|1|40720,40.07
2016-03-20,9443|1|1|40721,43.94
2016-03-20,9443|1|1|40725,108.17
2016-03-20,9443|1|1|40726,99.88
2016-03-20,9443|1|1|40727,205.63
2016-03-20,9443|1|1|40737,94.64
2016-03-20,9443|1|1|40741,66.78
2016-03-20,9443|1|1|40742,133.54
2016-03-20,9443|1|1|40743,275.55
2016-03-20,9443|1|1|40746,269.29
2016-03-20,9443|1|1|40747,380.39
2016-03-20,9443|1|1|40749,381.28
2016-03-20,9443|1|1|40750,104.8
2016-03-20,9443|1|1|40751,104.8
2016-03-20,9443|1|1|40752,99.76
2016-03-20,9443|1|1|40754,94.31
2016-03-20,9443|1|1|40755,287.63
2016-03-20,9443|1|1|40756,112.92
2016-03-20,9443|1|1|40806,38.55
2016-03-20,9443|1|1|40822,0.0
2016-03-20,9443|1|1|40828,0.0
2016-03-20,9443|1|1|40830,173.61
2016-03-20,9443|1|1|40832,221.68
2016-03-20,9443|1|1|40836,99.58
2016-03-20,9443|1|1|40840,193.91
2016-03-20,9443|1|1|40856,238.3
2016-03-20,9443|1|1|40857,108.17
2016-03-20,9443|1|1|40861,63.57
2016-03-20,9443|1|1|40867,426.02
